bib,age,20k_minutes,avg_pace_to_20k,perc_decay_15k_to_20k,finish_minutes
1,34,59.03,20.33,-0.73,125.9
3,26,59.03,20.33,-0.73,126.07
5,32,59.03,20.33,-0.73,126.1
19,29,59.03,20.33,-0.73,128.02
31,28,59.03,20.33,-0.68,128.58
2,38,59.02,20.33,-0.71,129.38
22,31,60.58,19.81,-1.11,129.73
21,33,60.6,19.8,-1.06,129.77
8,26,59.02,20.33,-0.71,130.07
24,29,60.6,19.8,-1.1,130.28
20,26,59.03,20.33,-0.77,130.42
27,29,59.03,20.33,-0.73,130.55
25,29,60.58,19.81,-1.11,130.87
7,26,61.13,19.63,-0.76,131.43
11,31,59.02,20.33,-0.71,131.83
26,30,60.6,19.8,-1.1,132.37
48,24,62.28,19.27,-0.24,133.45
45,30,62.03,19.35,-1.08,133.95
18,34,60.6,19.8,-1.14,134.13
46,34,60.6,19.8,-1.1,134.22
43,33,60.58,19.81,-1.11,134.45
12,34,59.02,20.33,-0.71,134.62
29,37,62.03,19.35,-1.08,136.1
51,27,62.65,19.15,-0.61,136.42
28,34,62.03,19.35,-1.08,137.08
23,31,62.65,19.15,-0.82,137.92
54,30,64.78,18.52,0.13,138.07
50,32,64.12,18.71,-0.56,138.38
52,31,64.98,18.47,-0.17,140.13
49,38,62.03,19.35,-1.08,140.33
62,30,65.02,18.46,-0.19,140.5
56,34,65.42,18.34,-0.19,141.1
268,36,65.13,18.42,-0.67,141.42
251,25,65.98,18.19,-0.54,141.47
122,33,67.77,17.71,-0.09,141.63
305,25,65.18,18.41,-0.64,141.67
512,24,66.53,18.04,-0.44,141.72
57,36,66.4,18.07,-0.0,141.78
102,31,67.77,17.71,-0.09,141.83
105,34,67.77,17.71,0.28,141.95
116,31,67.77,17.71,-0.09,142.0
235,30,66.93,17.93,-0.13,142.13
121,30,67.77,17.71,0.5,142.17
228,36,66.48,18.05,-0.28,142.18
230,38,66.52,18.04,-0.32,142.18
59,35,65.42,18.34,-0.17,142.67
241,37,66.9,17.94,-0.11,142.83
40,33,60.6,19.8,-1.06,142.92
58,25,63.2,18.99,0.21,143.2
231,31,66.97,17.92,-0.15,143.2
444,30,66.88,17.94,-0.16,143.27
257,32,66.93,17.93,-0.13,143.37
114,33,67.77,17.71,-0.05,143.42
245,30,67.92,17.67,-0.51,143.45
55,31,64.8,18.52,-0.58,143.53
75,43,65.42,18.34,-0.17,143.65
70,40,65.42,18.34,-0.19,143.73
270,33,67.62,17.75,-0.38,144.08
363,26,67.57,17.76,-0.39,144.18
106,30,67.77,17.71,0.28,144.2
267,32,66.83,17.96,-0.18,144.23
253,33,67.8,17.7,-0.2,144.33
110,27,67.77,17.71,-0.09,144.5
113,34,68.2,17.6,0.2,144.55
107,28,67.77,17.71,-0.09,144.57
129,34,68.2,17.6,0.2,144.62
104,29,67.77,17.71,-0.05,144.73
308,25,67.42,17.8,-0.17,144.77
119,34,68.18,17.6,0.22,144.82
588,27,68.93,17.41,0.0,144.83
125,35,68.65,17.48,0.28,144.85
120,29,68.2,17.6,0.2,144.97
111,27,67.77,17.71,-0.09,145.12
485,24,66.8,17.96,-1.0,145.18
323,29,68.03,17.64,-0.49,145.2
311,29,68.22,17.59,-0.22,145.53
347,31,68.75,17.45,0.01,145.67
391,25,69.83,17.18,-0.1,145.78
115,40,68.6,17.49,0.04,145.8
296,23,67.6,17.75,0.06,145.93
989,22,68.53,17.51,-0.19,146.02
299,29,68.6,17.49,-0.16,146.03
42,44,62.65,19.15,-0.82,146.05
74,42,66.42,18.07,-1.68,146.12
283,27,66.53,18.04,-0.4,146.22
291,30,68.7,17.47,-0.28,146.3
242,27,66.5,18.05,-0.31,146.42
293,29,68.8,17.44,-0.16,146.65
316,24,66.5,18.05,-0.55,146.75
266,30,68.95,17.4,-0.06,146.77
335,24,66.5,18.05,-0.29,146.8
429,41,68.97,17.4,-0.05,146.85
376,22,67.48,17.78,-0.16,146.92
294,34,68.77,17.45,-0.05,146.97
4330,25,69.47,17.27,-0.16,147.05
108,39,69.33,17.31,-0.09,147.3
483,39,69.1,17.37,-0.18,147.42
271,40,67.6,17.75,-0.75,147.48
1043,30,69.83,17.18,-0.48,147.52
304,26,66.13,18.15,-1.04,147.68
286,26,68.58,17.5,-0.13,147.75
380,31,68.77,17.45,-0.34,147.77
274,43,69.15,17.35,-0.18,147.83
318,31,66.35,18.09,-0.99,147.98
349,24,67.68,17.73,-0.45,148.07
79,40,67.57,17.76,-1.08,148.08
571,24,68.2,17.6,-0.23,148.1
295,24,67.95,17.66,-0.26,148.18
998,25,68.83,17.43,0.09,148.2
117,28,68.18,17.6,0.22,148.2
365,25,69.67,17.22,1.2,148.3
521,26,68.55,17.51,-0.57,148.38
325,26,70.75,16.96,-0.4,148.42
489,25,68.65,17.48,-0.4,148.48
419,26,70.55,17.01,0.11,148.48
604,30,67.18,17.86,-0.43,148.63
375,33,70.57,17.0,0.17,148.65
73,45,68.73,17.46,-1.06,148.67
317,29,67.65,17.74,-0.41,148.75
126,26,69.08,17.37,-0.35,148.75
78,41,67.58,17.76,-1.06,148.97
1770,27,70.0,17.14,0.38,149.17
382,24,70.2,17.09,0.47,149.18
236,28,66.95,17.92,-0.08,149.18
337,43,68.62,17.49,-0.55,149.23
3097,23,71.12,16.87,-0.07,149.38
1712,39,69.88,17.17,-0.08,149.4
297,41,70.02,17.14,-0.41,149.42
366,36,69.88,17.17,-1.01,149.45
709,32,68.78,17.45,-0.32,149.47
387,32,70.4,17.05,-0.19,149.52
507,33,66.98,17.92,-0.11,149.55
352,26,70.02,17.14,0.01,149.55
3165,23,69.65,17.23,-0.21,149.55
621,27,70.38,17.05,-0.03,149.67
47,37,66.75,17.98,-1.02,149.8
285,29,69.83,17.18,-0.14,149.8
237,36,68.28,17.57,-0.18,149.85
229,26,71.12,16.87,-0.32,149.87
367,33,69.88,17.17,-0.46,150.0
76,40,67.77,17.71,-1.2,150.03
65,37,67.22,17.85,-1.81,150.12
876,23,68.27,17.58,-0.2,150.18
118,36,69.3,17.32,-0.63,150.23
246,35,68.7,17.47,-0.3,150.28
420,26,68.63,17.49,-0.37,150.33
281,34,69.1,17.37,-0.2,150.37
425,27,70.38,17.05,-0.26,150.38
348,35,71.18,16.86,-0.29,150.4
577,24,70.68,16.98,-0.55,150.42
688,24,72.45,16.56,-0.2,150.43
269,35,69.27,17.32,-0.43,150.45
497,38,71.25,16.84,0.02,150.45
1208,33,71.23,16.85,-0.32,150.48
1267,31,70.4,17.05,-0.09,150.55
520,48,71.5,16.78,-0.2,150.62
496,40,71.33,16.82,-0.28,150.63
313,27,69.97,17.15,-0.4,150.67
409,29,71.07,16.88,-0.0,150.7
985,31,70.15,17.11,0.17,150.7
309,33,71.0,16.9,0.04,150.75
617,26,70.77,16.96,-0.2,150.87
499,35,70.88,16.93,0.17,150.92
723,30,72.27,16.6,0.09,150.95
243,27,69.18,17.35,-0.97,150.98
817,30,70.02,17.14,-0.37,150.98
487,30,69.53,17.26,-0.82,151.05
431,23,71.62,16.76,-0.08,151.08
370,31,72.25,16.61,0.02,151.08
142,31,71.22,16.85,-0.35,151.13
2432,28,71.37,16.81,0.17,151.18
357,46,70.27,17.08,-0.25,151.25
385,42,70.07,17.13,-0.42,151.28
315,35,70.8,16.95,-0.43,151.28
401,22,70.82,16.94,-0.08,151.3
130,27,69.27,17.32,-0.0,151.32
1429,26,71.08,16.88,-0.39,151.38
478,20,72.33,16.59,0.43,151.4
1223,27,70.83,16.94,-0.42,151.48
151,29,71.23,16.85,-0.19,151.53
466,33,72.77,16.49,0.44,151.57
416,41,70.8,16.95,-0.15,151.58
422,31,71.2,16.85,-0.15,151.58
563,28,70.43,17.04,0.15,151.6
949,26,70.48,17.03,-0.26,151.62
411,27,71.15,16.87,-0.3,151.67
626,23,71.07,16.88,-0.29,151.68
561,26,71.12,16.87,-0.32,151.7
381,28,67.5,17.78,-0.94,151.75
430,25,71.2,16.85,-0.24,151.75
1332,25,68.65,17.48,-1.53,151.75
592,28,71.65,16.75,-0.16,151.83
546,25,71.75,16.72,-0.15,151.85
648,24,70.68,16.98,-0.26,151.9
660,30,70.22,17.09,-0.64,151.93
739,24,71.72,16.73,0.26,151.93
276,35,68.93,17.41,-0.52,151.97
1704,25,73.45,16.34,-0.2,151.97
532,28,72.58,16.53,-0.16,151.98
408,29,69.28,17.32,-0.94,152.0
418,38,71.9,16.69,-0.42,152.02
371,27,70.03,17.14,-0.18,152.02
383,34,70.23,17.09,0.11,152.05
715,32,70.47,17.03,-0.29,152.1
611,29,70.47,17.03,-0.06,152.12
264,24,69.45,17.28,0.08,152.15
374,32,69.13,17.36,-0.25,152.18
736,34,71.02,16.9,-0.44,152.18
748,26,69.9,17.17,0.01,152.23
463,25,67.28,17.84,-0.71,152.23
514,27,70.8,16.95,0.19,152.27
1140,28,70.72,16.97,0.25,152.38
329,31,71.18,16.86,-0.22,152.4
258,27,66.97,17.92,-0.79,152.45
322,33,70.77,16.96,-0.2,152.47
674,28,72.2,16.62,-0.04,152.47
566,37,71.2,16.85,-0.32,152.47
384,28,70.0,17.14,-0.23,152.5
1252,31,71.52,16.78,-0.17,152.53
536,28,68.47,17.53,-1.5,152.55
289,42,70.03,17.14,-0.48,152.63
378,31,71.83,16.71,-0.26,152.68
131,35,70.38,17.05,-0.86,152.77
939,29,71.13,16.87,-0.31,152.9
344,27,71.12,16.87,-0.32,152.9
1245,36,70.9,16.93,-0.08,152.95
712,24,71.28,16.84,-0.39,152.95
275,34,70.38,17.05,-2.15,152.98
341,45,71.02,16.9,-0.46,152.98
619,27,71.88,16.69,-0.39,153.0
1678,39,71.88,16.69,-0.11,153.02
666,31,71.73,16.73,-0.18,153.02
394,26,70.67,16.98,-0.44,153.05
952,26,70.8,16.95,-0.41,153.07
448,40,70.68,16.98,-0.3,153.15
552,30,74.03,16.21,0.28,153.18
878,33,71.92,16.69,-0.41,153.2
636,26,73.38,16.35,0.39,153.2
679,28,72.22,16.62,-0.16,153.23
622,40,72.8,16.48,0.04,153.27
600,29,71.57,16.77,-0.24,153.3
1352,30,73.25,16.38,-0.01,153.38
460,31,71.13,16.87,-0.31,153.4
410,36,70.87,16.93,-0.51,153.42
414,31,70.93,16.92,-0.6,153.45
1549,26,70.6,17.0,-0.04,153.48
722,50,69.85,17.18,-1.27,153.5
339,32,70.05,17.13,-0.36,153.52
877,27,70.83,16.94,-0.8,153.6
835,23,72.98,16.44,0.03,153.62
310,31,72.43,16.57,-0.26,153.62
400,25,70.4,17.05,-0.13,153.65
1153,31,73.03,16.43,-0.81,153.65
1298,32,72.0,16.67,-0.13,153.67
445,35,73.33,16.36,-0.32,153.7
1007,25,72.02,16.66,-0.31,153.72
332,29,69.8,17.19,-1.11,153.73
423,31,72.13,16.64,0.0,153.77
960,25,72.15,16.63,0.16,153.78
123,27,70.07,17.13,-0.42,153.88
333,34,70.6,17.0,-0.43,153.93
7220,38,72.58,16.53,0.08,153.95
133,28,71.22,16.85,-0.35,153.95
624,28,71.03,16.89,-0.0,153.97
509,42,69.67,17.22,-1.1,153.98
899,28,73.07,16.42,-0.31,154.0
373,27,68.6,17.49,-0.64,154.08
2261,30,72.68,16.51,-0.26,154.1
553,51,73.1,16.42,-0.26,154.12
1354,40,71.88,16.69,-0.45,154.15
451,33,72.5,16.55,-0.19,154.15
462,26,70.3,17.07,-0.58,154.15
528,29,72.5,16.55,-0.19,154.17
307,26,70.63,16.99,-0.29,154.2
777,25,72.12,16.64,0.39,154.2
539,26,69.72,17.21,-1.03,154.22
1595,40,72.7,16.51,-0.05,154.23
1135,41,73.95,16.23,0.25,154.25
2070,26,73.32,16.37,-0.29,154.25
5374,41,70.9,16.93,-0.29,154.27
461,53,72.43,16.57,-0.19,154.28
303,35,66.95,17.92,-0.16,154.3
535,31,72.22,16.62,-0.16,154.32
421,38,71.35,16.82,0.35,154.33
893,28,72.17,16.63,-0.09,154.35
691,36,72.92,16.46,-0.11,154.35
1597,26,73.25,16.38,-0.16,154.37
555,40,72.92,16.46,-0.31,154.38
861,27,69.92,17.16,-0.42,154.38
4242,35,71.4,16.81,-0.43,154.38
687,36,70.48,17.03,-0.64,154.4
871,33,73.75,16.27,0.19,154.43
1860,23,72.47,16.56,-0.13,154.45
711,25,73.55,16.32,-0.26,154.45
784,25,73.4,16.35,0.05,154.48
542,46,72.05,16.66,-0.25,154.5
149,27,73.13,16.41,-0.21,154.5
226,38,67.68,17.73,-0.32,154.57
124,34,69.83,17.18,-0.81,154.58
1637,32,71.78,16.72,-0.16,154.62
911,26,72.22,16.62,0.01,154.62
101,43,69.1,17.37,-0.68,154.67
670,32,72.3,16.6,-0.14,154.7
1662,19,71.97,16.67,-0.14,154.72
2807,22,72.4,16.57,-0.13,154.75
572,41,68.75,17.45,-0.41,154.75
2598,31,72.97,16.45,-0.2,154.77
503,38,73.77,16.27,0.13,154.82
832,30,72.85,16.47,-0.11,154.98
830,28,72.25,16.61,-0.29,154.98
813,38,71.18,16.86,-0.31,155.0
995,25,70.32,17.06,-0.21,155.02
412,26,68.75,17.45,-0.57,155.03
669,23,74.07,16.2,-0.09,155.05
312,36,71.9,16.69,-0.42,155.07
860,30,71.97,16.67,-0.55,155.13
428,35,70.9,16.93,-0.48,155.13
1525,32,72.1,16.64,-0.42,155.15
390,35,70.38,17.05,-0.1,155.17
2004,23,75.5,15.89,0.45,155.17
1556,39,70.02,17.14,-0.54,155.18
29291,24,72.3,16.6,-0.05,155.22
355,31,74.6,16.09,-0.14,155.25
525,29,73.07,16.42,-0.31,155.27
581,24,73.07,16.42,-0.28,155.27
2471,30,73.62,16.3,-0.21,155.27
1257,21,73.48,16.33,-0.47,155.32
635,26,74.08,16.2,-0.52,155.33
1070,25,73.67,16.29,0.3,155.33
2416,25,73.88,16.24,0.02,155.33
248,30,72.48,16.56,-0.7,155.38
112,24,68.6,17.49,-0.39,155.42
2638,37,72.62,16.52,-0.25,155.42
476,29,71.03,16.89,-0.64,155.42
919,35,73.0,16.44,-0.24,155.42
340,27,72.42,16.57,-0.17,155.42
1130,23,74.55,16.1,-0.2,155.45
1385,26,73.1,16.42,-0.17,155.45
415,29,71.85,16.7,-0.76,155.47
492,28,72.28,16.6,-0.24,155.47
1690,39,73.43,16.34,-0.28,155.48
2553,38,71.9,16.69,-0.19,155.48
30208,26,72.37,16.58,0.54,155.48
2100,24,68.17,17.6,-0.48,155.5
1176,26,72.62,16.52,-0.03,155.5
459,26,72.42,16.57,0.34,155.52
996,24,73.1,16.42,-0.1,155.52
645,33,73.23,16.39,-0.08,155.53
554,23,70.13,17.11,-0.47,155.55
943,34,73.23,16.39,-0.08,155.55
402,30,70.15,17.11,-0.25,155.57
797,32,71.75,16.72,-0.45,155.57
508,35,73.12,16.41,-0.26,155.57
728,31,73.6,16.3,0.0,155.63
506,25,72.05,16.66,-0.87,155.63
775,46,73.1,16.42,-0.72,155.63
440,19,67.78,17.7,-1.6,155.65
846,24,72.53,16.54,-0.22,155.67
1056,42,72.98,16.44,-0.19,155.67
372,32,70.05,17.13,-0.36,155.72
3938,37,73.45,16.34,0.51,155.8
452,26,71.68,16.74,-0.58,155.82
280,32,70.68,16.98,-0.3,155.82
457,34,73.6,16.3,-0.09,155.83
637,35,73.6,16.3,-0.18,155.83
343,30,72.87,16.47,-0.28,155.85
1416,27,74.82,16.04,-0.08,155.85
1126,35,72.8,16.48,0.49,155.87
628,24,73.33,16.36,-0.49,155.9
1283,24,71.07,16.88,-0.32,155.92
703,37,73.53,16.32,-0.21,155.95
526,30,73.42,16.34,0.06,155.98
879,40,73.1,16.42,-0.32,156.0
1139,28,73.9,16.24,0.1,156.03
875,26,71.37,16.81,-1.12,156.05
696,28,73.53,16.32,-0.9,156.07
1166,29,74.78,16.05,-0.29,156.08
368,34,69.48,17.27,-0.75,156.1
1626,25,73.35,16.36,-0.2,156.15
1119,44,72.8,16.48,-0.31,156.17
1238,21,69.55,17.25,-0.22,156.2
1636,27,73.92,16.23,-0.04,156.2
605,36,72.95,16.45,0.03,156.23
156,24,73.13,16.41,-0.23,156.23
1012,37,73.17,16.4,-0.05,156.32
262,28,72.13,16.64,-0.37,156.35
3555,36,72.53,16.54,0.06,156.37
7344,28,73.47,16.33,-0.0,156.37
464,26,70.43,17.04,-1.14,156.37
1197,31,73.43,16.34,-0.13,156.42
2403,29,74.85,16.03,0.15,156.43
439,38,73.37,16.36,-0.9,156.45
1956,24,74.57,16.09,0.08,156.45
1042,33,74.25,16.16,0.15,156.47
944,27,72.88,16.47,-0.11,156.55
1022,39,74.0,16.22,-0.31,156.55
447,42,71.22,16.85,-0.22,156.55
971,32,72.25,16.61,-0.48,156.55
1875,32,74.5,16.11,-0.22,156.55
2344,23,72.18,16.63,-0.53,156.6
603,38,73.7,16.28,-0.5,156.62
862,29,73.03,16.43,-0.26,156.62
1557,31,73.1,16.42,-0.83,156.63
641,46,73.58,16.31,-0.24,156.65
319,38,70.58,17.0,-0.35,156.68
523,37,73.22,16.39,0.48,156.72
490,29,74.12,16.19,-0.47,156.75
884,34,74.08,16.2,-0.07,156.8
908,31,74.13,16.19,-0.14,156.82
548,31,71.95,16.68,-0.8,156.83
570,26,73.73,16.28,-0.86,156.83
2240,22,71.93,16.68,0.13,156.85
1051,41,74.85,16.03,0.2,156.87
1281,31,73.95,16.23,-0.47,156.87
2343,34,75.08,15.98,0.07,156.93
938,24,71.15,16.87,-1.49,156.97
978,39,73.32,16.37,-0.38,156.97
510,36,74.52,16.1,-0.13,156.98
1091,36,71.75,16.72,-0.64,157.0
2374,26,74.07,16.2,-0.06,157.02
568,36,71.0,16.9,-0.41,157.02
851,44,74.43,16.12,-0.17,157.08
673,35,73.23,16.39,-0.35,157.08
853,36,73.15,16.4,-0.02,157.13
2412,33,75.8,15.83,-0.12,157.13
331,28,71.23,16.85,-0.32,157.22
498,32,74.32,16.15,-0.2,157.25
500,22,69.93,17.16,0.29,157.25
724,31,74.3,16.15,-0.35,157.28
590,24,71.87,16.7,-0.1,157.28
1123,32,73.93,16.23,-0.45,157.28
659,28,73.08,16.42,-0.51,157.3
781,46,73.58,16.31,-0.24,157.3
668,47,71.75,16.72,-0.54,157.32
650,33,73.17,16.4,-0.18,157.32
772,44,71.12,16.87,-0.97,157.33
1133,27,71.87,16.7,-0.41,157.35
324,33,70.63,16.99,-0.14,157.35
2877,34,73.63,16.3,-0.91,157.4
1249,38,73.98,16.22,-0.37,157.42
1164,35,74.05,16.21,-0.93,157.42
1001,22,72.63,16.52,-0.04,157.43
602,44,73.8,16.26,-0.14,157.47
413,34,68.73,17.46,-0.29,157.5
1326,32,74.98,16.0,-0.06,157.5
326,27,71.83,16.71,-1.03,157.52
1039,39,72.0,16.67,-0.19,157.52
770,33,73.43,16.34,0.5,157.55
1237,40,74.53,16.1,-0.03,157.57
906,32,74.37,16.14,0.0,157.58
31009,35,75.57,15.88,0.34,157.6
1059,37,73.32,16.37,-0.29,157.62
661,40,72.72,16.5,-2.27,157.63
239,23,70.63,16.99,-1.23,157.65
598,39,73.65,16.29,-0.03,157.73
1547,34,73.95,16.23,-0.06,157.73
3500,27,71.22,16.85,-0.55,157.75
534,29,75.68,15.86,0.11,157.78
1104,27,70.85,16.94,-0.67,157.78
814,41,74.52,16.1,-0.2,157.78
809,37,75.12,15.97,-0.07,157.78
2802,33,74.22,16.17,-0.24,157.83
359,35,74.0,16.22,-0.86,157.85
789,34,73.08,16.42,-1.72,157.85
529,43,71.22,16.85,-0.22,157.87
962,45,72.45,16.56,-0.31,157.87
686,31,75.38,15.92,0.2,157.88
974,42,73.37,16.36,-0.36,157.88
994,32,74.2,16.17,-0.49,157.9
467,37,72.42,16.57,-0.36,157.93
1910,29,73.07,16.42,-0.24,157.93
591,22,72.37,16.58,-0.14,157.95
522,30,75.08,15.98,0.37,157.97
1057,31,74.53,16.1,0.04,157.98
1512,29,74.55,16.1,-0.08,158.03
729,43,73.08,16.42,-0.29,158.03
399,37,73.48,16.33,0.02,158.03
1485,31,75.3,15.94,0.01,158.08
515,36,71.97,16.67,-1.11,158.1
4048,22,76.83,15.62,0.52,158.1
1414,33,74.9,16.02,-0.19,158.1
4449,28,74.2,16.17,0.27,158.12
937,43,74.03,16.21,-0.85,158.12
1242,30,73.97,16.22,-0.59,158.13
320,40,72.63,16.52,-1.38,158.13
816,30,73.38,16.35,-0.52,158.15
914,30,73.12,16.41,-0.2,158.17
894,32,73.03,16.43,-0.04,158.17
676,47,73.42,16.34,-0.79,158.17
1173,41,72.38,16.58,-1.72,158.17
1668,29,74.83,16.04,0.1,158.2
1305,35,73.35,16.36,-0.3,158.22
433,46,73.62,16.3,-0.43,158.22
1713,33,75.52,15.89,0.07,158.23
482,39,74.38,16.13,-0.51,158.23
1744,25,74.28,16.16,-0.34,158.25
397,29,75.75,15.84,0.21,158.25
1583,28,73.43,16.34,-0.19,158.25
854,28,74.13,16.19,-0.14,158.32
354,23,74.93,16.01,-1.24,158.33
1899,40,74.88,16.03,-0.14,158.33
987,37,73.38,16.35,-0.37,158.38
171,30,73.15,16.4,-0.24,158.38
1195,24,68.73,17.46,-0.05,158.4
746,38,73.07,16.42,-0.83,158.42
615,32,73.67,16.29,-0.55,158.42
1436,37,75.92,15.81,0.32,158.42
249,37,74.1,16.19,0.13,158.45
680,40,74.23,16.17,0.01,158.45
895,33,73.82,16.26,-0.79,158.45
926,41,74.75,16.05,-0.29,158.47
684,26,71.18,16.86,-0.29,158.47
438,38,72.72,16.5,-0.11,158.48
488,24,75.33,15.93,0.68,158.48
972,27,74.27,16.16,-0.13,158.48
3616,29,74.62,16.08,-0.15,158.5
980,34,74.0,16.22,-0.77,158.52
469,23,69.68,17.22,-0.75,158.53
2050,26,75.07,15.99,-0.04,158.55
5540,26,75.03,15.99,-0.63,158.6
435,23,75.53,15.89,-0.49,158.63
443,31,73.57,16.31,0.08,158.63
2415,37,74.1,16.19,0.13,158.63
836,40,74.97,16.01,-0.19,158.65
1731,34,74.0,16.22,-0.36,158.65
719,40,73.55,16.32,-0.62,158.65
1494,37,74.42,16.12,-0.24,158.67
811,42,74.17,16.18,-0.27,158.68
150,29,72.13,16.64,-0.24,158.68
803,27,75.07,15.99,-0.54,158.68
1144,32,74.85,16.03,0.08,158.7
1060,28,74.02,16.21,-0.21,158.75
406,34,70.87,16.93,-0.44,158.75
1960,26,74.97,16.01,-1.08,158.75
1375,28,75.88,15.81,0.33,158.77
1891,26,73.23,16.39,-0.5,158.78
1790,31,75.38,15.92,-0.36,158.8
618,33,75.0,16.0,-0.12,158.82
544,50,73.95,16.23,0.03,158.83
667,20,73.57,16.31,-0.14,158.83
1660,36,75.7,15.85,0.1,158.83
1078,24,73.43,16.34,-0.13,158.88
931,30,74.37,16.14,-0.55,158.88
1349,34,74.75,16.05,-0.11,158.88
644,25,77.83,15.42,-0.18,158.88
785,26,72.93,16.45,-0.27,158.9
1016,40,74.4,16.13,-0.04,158.93
720,42,73.33,16.36,-0.4,158.93
471,50,73.2,16.39,-1.06,158.95
256,37,73.57,16.31,-1.32,158.95
824,46,74.32,16.15,-0.7,158.97
1006,27,70.47,17.03,0.15,158.97
701,22,71.98,16.67,-0.38,158.98
776,45,73.53,16.32,-0.32,158.98
1455,46,75.62,15.87,-1.12,159.02
1699,26,73.45,16.34,-0.2,159.02
793,23,73.18,16.4,-0.48,159.03
892,39,75.98,15.79,-0.38,159.05
1226,28,74.8,16.04,-0.45,159.08
1895,36,74.53,16.1,-0.17,159.08
678,45,74.08,16.2,-0.56,159.08
369,29,72.88,16.47,0.26,159.1
1102,27,73.83,16.25,-0.85,159.12
1816,24,72.6,16.53,-0.22,159.15
60,30,65.42,18.34,-0.23,159.17
473,30,75.18,15.96,-0.24,159.17
942,51,74.28,16.16,-0.43,159.18
1315,38,74.82,16.04,-0.12,159.18
718,26,74.85,16.03,-0.51,159.2
658,31,74.42,16.12,-0.15,159.25
1456,43,74.02,16.21,-0.33,159.27
1571,24,77.38,15.51,-0.03,159.32
1229,42,74.92,16.02,-0.3,159.33
790,49,75.17,15.96,-0.19,159.4
5956,32,75.47,15.9,0.12,159.43
1127,43,75.25,15.95,0.02,159.43
1914,34,75.03,15.99,-0.34,159.43
1855,30,73.32,16.37,-0.4,159.45
2913,30,76.63,15.66,0.57,159.47
838,33,75.68,15.86,0.11,159.48
975,39,74.48,16.11,-0.34,159.48
1084,27,75.5,15.89,-0.1,159.5
750,30,75.93,15.8,0.27,159.53
1548,33,77.12,15.56,-0.28,159.53
812,36,71.67,16.74,-0.53,159.55
1134,39,75.82,15.83,-0.15,159.58
1801,31,74.88,16.03,-0.41,159.63
782,34,72.78,16.49,-0.49,159.63
67,30,71.7,16.74,-1.26,159.65
2634,21,76.23,15.74,-0.18,159.68
945,24,76.38,15.71,-0.01,159.68
3819,29,75.93,15.8,0.27,159.75
747,39,74.0,16.22,-0.81,159.75
1279,34,74.87,16.03,-0.18,159.77
1175,26,74.6,16.09,-0.13,159.8
1854,37,74.47,16.11,-0.51,159.83
2252,24,75.28,15.94,0.19,159.83
953,52,74.17,16.18,-0.86,159.83
740,40,75.85,15.82,-0.1,159.88
1695,27,76.0,15.79,-0.09,159.88
284,32,66.93,17.93,-0.09,159.88
1303,41,75.82,15.83,-0.47,159.92
1716,21,76.73,15.64,-0.81,159.93
2800,26,75.47,15.9,-0.06,159.98
1721,33,74.53,16.1,-0.08,160.02
4254,37,75.13,15.97,0.13,160.02
1516,44,76.43,15.7,0.43,160.03
697,23,72.98,16.44,0.25,160.05
699,46,75.47,15.9,-0.32,160.05
2756,33,76.0,15.79,0.04,160.07
1171,32,75.22,15.95,-0.38,160.08
3493,41,76.07,15.77,-0.14,160.1
1285,30,75.62,15.87,0.03,160.13
1559,48,74.25,16.16,-0.48,160.15
1788,28,75.3,15.94,0.43,160.22
706,30,72.57,16.54,-0.18,160.22
717,37,73.13,16.41,-0.12,160.22
153,34,73.45,16.34,-0.67,160.23
5607,37,73.75,16.27,-0.51,160.23
689,37,75.07,15.99,-0.15,160.27
2095,30,74.83,16.04,0.23,160.3
450,32,74.05,16.21,-2.08,160.3
649,44,75.07,15.99,-0.13,160.33
5931,29,74.05,16.21,-0.64,160.35
964,36,74.8,16.04,-0.59,160.4
1706,33,77.1,15.56,0.1,160.42
1836,45,75.68,15.86,-0.11,160.42
388,41,75.18,15.96,0.65,160.43
802,35,75.68,15.86,0.12,160.48
2216,28,77.33,15.52,-0.13,160.48
1040,31,75.25,15.95,-0.33,160.48
800,42,74.2,16.17,-0.59,160.5
493,25,70.85,16.94,-0.2,160.5
847,26,75.17,15.96,-0.01,160.52
1420,42,75.9,15.81,-0.08,160.52
389,44,73.03,16.43,-1.26,160.52
3628,26,77.2,15.54,0.55,160.53
787,38,71.78,16.72,-1.24,160.53
3843,33,76.07,15.77,0.52,160.53
630,25,70.33,17.06,-0.7,160.53
442,31,74.98,16.0,-0.54,160.55
2332,51,76.07,15.77,0.17,160.55
1196,34,71.17,16.86,-2.71,160.57
4373,21,75.75,15.84,0.15,160.57
662,37,74.53,16.1,-0.66,160.57
1878,37,75.45,15.9,-0.37,160.58
161,38,76.27,15.73,-0.32,160.62
1868,19,74.0,16.22,-0.05,160.63
1453,30,74.28,16.16,-0.23,160.65
1563,38,75.93,15.8,0.14,160.65
560,39,73.27,16.38,-0.15,160.68
1691,38,74.48,16.11,-0.07,160.7
1717,25,75.55,15.88,0.1,160.7
3117,36,76.9,15.6,0.16,160.7
734,32,74.77,16.05,-0.32,160.72
511,42,74.0,16.22,-0.95,160.73
1701,42,75.42,15.91,-0.52,160.73
1640,30,77.43,15.5,-0.12,160.75
1065,30,73.87,16.24,-0.33,160.77
1561,25,75.77,15.84,-0.14,160.78
1705,32,75.28,15.94,0.02,160.8
