bib,age,20k_minutes,avg_pace_to_20k,perc_decay_15k_to_20k,finish_minutes
19290,35,104.7,11.46,0.01,223.93
14417,55,98.98,12.12,-0.42,223.93
31418,38,102.95,11.66,0.35,223.93
18699,56,103.43,11.6,-0.61,223.95
17392,50,103.75,11.57,-0.23,223.95
15312,59,101.67,11.8,-1.09,223.97
23597,65,104.68,11.46,-0.75,223.97
25292,23,104.97,11.43,0.73,223.97
12967,53,100.08,11.99,-2.1,223.97
19749,46,106.93,11.22,-0.1,223.98
21908,60,102.73,11.68,-0.52,223.98
21886,61,103.67,11.58,0.73,224.0
19399,46,105.75,11.35,0.24,224.02
18169,43,101.85,11.78,-0.44,224.02
21976,51,105.8,11.34,-0.15,224.03
22445,51,104.8,11.45,-1.53,224.03
17981,64,103.28,11.62,-0.36,224.03
21107,51,106.2,11.3,0.25,224.03
18954,46,101.82,11.79,-0.91,224.03
25293,25,104.97,11.43,0.73,224.05
19244,56,97.05,12.36,-0.99,224.05
19166,63,104.27,11.51,-0.17,224.07
25180,29,103.33,11.61,-0.67,224.07
20017,49,100.45,11.95,-0.75,224.07
22737,51,107.65,11.15,0.16,224.07
13747,51,97.4,12.32,-0.71,224.08
19001,44,102.8,11.67,-0.35,224.08
21424,58,103.75,11.57,0.59,224.08
25945,25,100.73,11.91,0.27,224.1
22870,69,104.92,11.44,-0.05,224.12
16721,32,106.35,11.28,0.08,224.12
15762,55,102.1,11.75,-1.04,224.12
21612,52,102.62,11.69,-0.18,224.12
6947,41,90.0,13.33,-2.34,224.13
19405,46,105.87,11.33,0.27,224.13
21352,66,103.65,11.58,-0.76,224.13
21826,46,106.03,11.32,-0.18,224.13
31765,46,95.0,12.63,-1.66,224.13
26752,47,102.72,11.68,0.17,224.13
18360,61,99.65,12.04,-1.15,224.15
14751,51,106.43,11.28,-0.32,224.15
23642,65,106.57,11.26,-0.28,224.15
19866,41,103.48,11.6,-0.57,224.15
11840,46,103.02,11.65,-0.67,224.15
12304,51,105.0,11.43,-0.7,224.15
8584,42,105.0,11.43,-0.67,224.15
17608,36,99.72,12.03,-0.75,224.17
20961,61,102.9,11.66,-0.51,224.17
11610,42,106.97,11.22,-0.72,224.17
19236,39,104.15,11.52,0.01,224.17
17119,30,102.65,11.69,-0.76,224.17
29589,34,104.85,11.44,0.17,224.17
19260,49,102.03,11.76,-0.64,224.17
14073,50,98.53,12.18,-1.08,224.17
29765,46,104.67,11.46,0.04,224.18
6320,41,104.08,11.53,-0.23,224.18
19507,43,104.38,11.5,0.08,224.18
15707,53,104.77,11.45,-0.58,224.18
19172,60,101.77,11.79,-0.23,224.18
12813,45,105.02,11.43,-0.72,224.18
20354,63,106.02,11.32,0.07,224.2
29800,23,103.85,11.56,0.02,224.2
18250,56,101.13,11.87,-0.17,224.2
7246,48,101.47,11.83,-0.77,224.22
31082,49,104.85,11.44,1.31,224.22
22302,51,107.12,11.2,-0.01,224.22
14901,53,104.15,11.52,-0.69,224.23
21685,50,103.58,11.59,0.08,224.23
27888,29,102.97,11.65,-0.1,224.25
8592,47,96.63,12.42,-1.31,224.27
19615,42,103.45,11.6,0.04,224.27
20213,43,105.47,11.38,-0.17,224.27
14248,45,107.7,11.14,0.44,224.28
18283,52,106.03,11.32,0.01,224.28
30681,34,103.48,11.6,0.01,224.28
19351,57,109.33,10.98,-0.16,224.28
18123,43,99.85,12.02,0.02,224.3
16575,60,103.3,11.62,-0.03,224.3
19336,57,103.2,11.63,-0.35,224.3
12906,27,103.3,11.62,-0.03,224.3
13116,33,106.05,11.32,-1.2,224.32
31808,34,101.73,11.8,-0.1,224.33
18312,60,104.58,11.47,-0.34,224.33
16907,39,104.37,11.5,-0.14,224.35
18449,38,102.48,11.71,-0.56,224.37
19182,61,106.67,11.25,-1.69,224.37
21441,60,102.42,11.72,-1.58,224.37
19047,54,102.42,11.72,-0.25,224.37
22803,51,104.98,11.43,-0.43,224.37
10936,45,99.83,12.02,-0.63,224.38
20463,49,108.12,11.1,-0.01,224.38
14767,58,96.68,12.41,-0.52,224.38
21561,52,103.25,11.62,0.08,224.38
19575,43,101.7,11.8,-0.07,224.4
16206,40,97.32,12.33,-1.08,224.4
19696,37,101.5,11.82,-0.66,224.4
23147,51,102.28,11.73,-0.31,224.4
11383,47,94.57,12.69,-0.29,224.4
20914,51,101.58,11.81,-1.75,224.42
9399,44,107.92,11.12,0.05,224.42
21087,52,108.3,11.08,-0.07,224.42
11988,48,93.95,12.77,-0.3,224.42
18695,47,104.33,11.5,-0.34,224.42
15194,56,102.03,11.76,-0.59,224.42
21346,53,105.08,11.42,-0.43,224.43
19054,44,109.4,10.97,-0.33,224.43
16002,56,98.2,12.22,-0.71,224.43
19820,59,103.72,11.57,0.05,224.45
20361,65,104.77,11.45,0.09,224.45
19721,65,93.8,12.79,-2.23,224.45
20801,51,101.33,11.84,-0.1,224.45
20006,51,105.93,11.33,-0.15,224.45
22192,68,103.37,11.61,-1.29,224.47
20240,62,102.43,11.72,-0.32,224.47
3631,43,98.95,12.13,-1.2,224.48
12506,39,101.68,11.8,-0.3,224.48
11907,57,104.18,11.52,-0.52,224.48
18322,36,103.75,11.57,-0.04,224.5
17172,29,103.75,11.57,-0.04,224.5
10731,39,91.18,13.16,-2.1,224.5
23169,50,105.72,11.35,-0.58,224.5
20926,55,104.02,11.54,0.66,224.5
18203,55,102.62,11.69,-0.08,224.52
18016,60,103.05,11.64,-0.31,224.52
19537,48,101.0,11.88,-1.21,224.52
24823,26,99.75,12.03,0.29,224.52
14481,67,99.58,12.05,-0.62,224.52
22751,45,107.7,11.14,0.44,224.52
31483,43,104.13,11.52,-0.12,224.53
20853,55,105.08,11.42,-0.24,224.53
10437,47,101.22,11.86,-1.73,224.53
16695,36,106.08,11.31,-0.14,224.53
29605,22,105.28,11.4,1.22,224.55
19348,56,106.42,11.28,-0.52,224.57
18528,46,105.02,11.43,-0.46,224.57
11826,47,104.32,11.5,-0.2,224.57
22158,53,105.83,11.34,-0.56,224.57
19621,55,101.9,11.78,-0.2,224.57
22594,67,106.13,11.31,-0.08,224.58
19208,42,103.05,11.64,0.3,224.58
20449,52,105.77,11.35,-0.25,224.58
5441,43,102.23,11.74,0.21,224.58
19059,37,104.32,11.5,-0.08,224.58
27692,44,99.05,12.12,-0.32,224.58
16786,35,98.77,12.15,-0.42,224.58
17874,41,107.2,11.19,-0.21,224.6
21958,49,104.58,11.47,-0.36,224.6
21893,65,105.65,11.36,-0.99,224.6
16150,44,97.78,12.27,-0.69,224.62
18816,44,102.82,11.67,-1.58,224.62
20360,42,104.25,11.51,-0.39,224.62
20262,42,104.12,11.53,-0.28,224.62
21120,65,104.67,11.46,0.29,224.62
15228,33,102.25,11.74,-0.9,224.63
19472,46,103.03,11.65,-0.06,224.63
18644,43,103.78,11.56,0.08,224.63
20174,60,103.92,11.55,-0.24,224.65
18376,52,105.12,11.42,-0.47,224.65
26676,29,104.17,11.52,0.03,224.65
22270,51,102.37,11.72,-0.88,224.65
21307,60,105.88,11.33,-0.26,224.67
22425,45,105.27,11.4,-0.22,224.67
19753,48,105.47,11.38,-0.03,224.67
16974,27,101.53,11.82,-3.08,224.67
17134,56,104.72,11.46,0.24,224.67
22135,61,104.3,11.51,-1.54,224.68
12066,46,105.7,11.35,-0.09,224.68
12849,48,105.62,11.36,-0.9,224.68
19243,65,97.43,12.32,-1.17,224.68
24084,63,104.4,11.49,-0.29,224.68
17345,35,96.88,12.39,-2.11,224.68
7228,58,106.45,11.27,1.54,224.68
19522,40,102.45,11.71,-1.09,224.7
20330,61,99.13,12.11,-0.16,224.7
22186,46,106.03,11.32,-0.0,224.7
20949,45,105.83,11.34,-0.53,224.72
25611,22,104.97,11.43,0.16,224.72
31031,29,104.65,11.47,-0.11,224.72
20872,55,102.22,11.74,-0.28,224.72
21815,60,103.07,11.64,-0.46,224.73
17195,41,100.75,11.91,-0.97,224.73
16502,33,104.53,11.48,-0.42,224.73
20437,66,103.73,11.57,-0.41,224.73
16167,30,93.1,12.89,-2.37,224.73
8472,48,96.87,12.39,-1.56,224.73
17889,40,104.7,11.46,-0.58,224.73
22636,47,107.4,11.17,-0.02,224.75
31619,54,105.88,11.33,-0.14,224.75
19568,61,104.33,11.5,-0.02,224.75
21600,48,104.53,11.48,-0.25,224.75
8585,40,95.03,12.63,-1.01,224.77
