bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,pace_5k_to_10k,percentage_decay_5k_to_10k,finish_minutes
812,36.0,18.02,35.77,53.47,71.67,75.62,89.82,109.25,129.47,150.22,0,1,16.9,0.75,159.55
747,39.0,18.13,36.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,16.39,-0.47,159.75
284,32.0,16.72,33.47,50.15,66.93,70.57,83.73,100.82,0.0,0.0,0,1,17.91,-0.09,159.88
2800,26.0,18.82,37.62,56.57,75.47,79.52,94.37,114.0,133.18,152.05,0,1,15.96,0.05,159.98
847,26.0,18.82,37.62,56.37,75.17,79.2,93.77,112.72,132.1,151.43,0,1,15.96,0.05,160.52
1563,38.0,19.38,38.2,57.03,75.93,80.05,94.87,114.2,133.73,152.47,0,1,15.94,1.47,160.65
1131,37.0,19.25,38.48,57.7,76.83,81.02,0.0,0.0,0.0,0.0,0,1,15.6,0.05,160.82
3077,27.0,19.12,37.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,16.19,1.57,160.92
1714,31.0,19.48,37.67,56.0,74.83,78.87,93.32,112.55,132.4,152.25,0,1,16.49,3.42,161.07
3314,39.0,19.63,38.85,57.95,76.98,81.08,96.0,115.32,0.0,0.0,0,1,15.61,1.06,161.62
4382,30.0,19.98,38.47,57.05,75.78,79.83,94.47,113.62,133.52,153.23,0,1,16.22,3.87,161.83
6072,34.0,20.1,38.98,57.45,75.85,0.0,0.0,0.0,0.0,0.0,0,1,15.89,3.13,162.33
933,35.0,18.6,37.1,55.9,75.15,79.37,94.62,114.6,134.78,154.22,0,1,16.22,0.27,162.4
2491,22.0,19.22,37.95,56.58,75.48,79.52,94.52,114.03,0.0,0.0,0,1,16.02,1.29,162.43
2058,39.0,19.78,38.7,57.67,76.83,80.92,0.0,0.0,0.0,0.0,0,1,15.86,2.22,162.48
3536,36.0,19.95,38.9,57.95,77.03,81.12,96.03,115.52,134.9,0.0,0,1,15.83,2.57,162.53
2655,26.0,19.65,39.07,58.47,78.12,82.28,97.27,116.55,135.72,0.0,0,1,15.45,0.59,162.88
3809,24.0,19.9,39.35,58.82,78.08,82.3,0.0,0.0,0.0,0.0,0,1,15.42,1.14,163.07
1909,39.0,18.75,37.18,55.97,75.18,79.33,94.52,114.23,134.28,154.47,0,1,16.28,0.86,163.22
2183,28.0,19.5,38.8,58.22,77.82,0.0,0.0,0.0,0.0,0.0,0,1,15.54,0.52,163.23
1939,37.0,19.48,38.57,57.67,76.85,81.0,95.95,115.45,0.0,0.0,0,1,15.72,1.01,163.33
1850,25.0,18.55,37.15,55.97,74.78,78.88,93.63,113.15,133.07,153.75,0,1,16.13,-0.13,163.53
4090,32.0,20.78,40.33,59.53,78.78,82.98,97.98,117.45,136.7,155.38,0,1,15.35,3.05,163.6
1355,32.0,19.58,38.77,58.07,77.35,81.6,96.72,116.18,135.85,155.2,0,1,15.63,1.01,163.63
4681,26.0,19.83,39.03,58.38,77.85,82.05,96.98,116.8,136.7,155.63,0,1,15.62,1.61,163.65
1615,28.0,18.98,37.57,56.33,0.0,0.0,0.0,0.0,0.0,0.0,0,1,16.14,1.04,163.78
2258,30.0,19.58,38.33,57.75,77.73,81.88,97.18,116.92,136.68,155.58,0,1,16.0,2.17,164.02
518,35.0,19.13,37.57,56.85,76.2,80.33,95.37,115.48,135.93,155.38,0,1,16.27,1.84,164.08
1308,34.0,18.58,36.97,55.42,74.55,78.8,94.38,114.88,135.73,155.48,0,1,16.31,0.51,164.15
1157,21.0,19.17,38.27,57.47,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.71,0.18,164.27
1820,37.0,19.83,39.3,58.77,78.37,82.6,97.8,117.48,137.07,155.92,0,1,15.41,0.92,164.27
547,28.0,19.18,38.38,57.78,77.37,81.67,96.82,116.58,136.72,156.45,0,1,15.62,-0.05,164.63
2482,23.0,20.27,40.27,60.12,80.27,84.62,99.98,118.75,137.88,156.53,0,1,15.0,0.67,164.85
3933,34.0,19.63,38.67,57.55,76.62,80.77,95.72,0.0,0.0,0.0,0,1,15.76,1.53,164.87
3066,32.0,20.15,39.87,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.21,1.08,164.92
2376,34.0,19.6,39.0,58.58,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.46,0.51,165.03
327,27.0,17.62,35.35,53.17,71.12,0.0,0.0,0.0,0.0,0.0,0,1,16.92,-0.31,165.15
1771,29.0,19.38,38.7,58.1,77.6,81.8,0.0,0.0,0.0,0.0,0,1,15.53,0.16,165.28
2963,27.0,19.57,39.2,58.8,78.52,82.75,97.93,118.03,138.07,157.28,0,1,15.28,-0.15,165.48
742,39.0,18.4,37.08,55.72,74.78,79.0,95.2,0.0,0.0,0.0,0,1,16.06,-0.76,165.52
3396,27.0,19.72,38.97,58.23,77.8,82.07,97.48,117.43,137.35,157.18,0,1,15.58,1.21,165.73
2564,34.0,19.72,39.2,58.68,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.4,0.61,166.05
3340,29.0,20.53,40.33,60.2,80.07,84.33,0.0,0.0,0.0,0.0,0,1,15.15,1.81,166.38
5957,34.0,19.78,38.65,57.55,76.45,80.57,95.73,0.0,0.0,0.0,0,1,15.9,2.35,166.85
1961,33.0,19.9,39.37,58.73,78.03,82.28,0.0,0.0,0.0,0.0,0,1,15.41,1.09,166.9
4028,38.0,19.83,39.32,58.72,78.3,82.55,97.78,117.73,137.72,157.65,0,1,15.39,0.86,166.98
2849,30.0,19.02,37.75,56.62,77.18,81.28,96.27,117.2,137.32,156.67,0,1,16.02,0.77,167.12
2621,24.0,20.35,40.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.13,1.29,167.17
1766,35.0,19.07,38.12,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.75,0.05,167.25
2823,33.0,20.05,39.82,59.63,79.32,83.58,99.0,119.08,139.1,0.0,0,1,15.17,0.7,167.32
1592,24.0,19.98,40.03,60.12,80.27,84.6,100.05,120.22,139.93,159.28,0,1,14.96,-0.17,167.38
3094,31.0,20.62,40.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,14.93,1.28,167.38
2645,26.0,19.5,38.65,57.73,76.77,80.87,96.1,116.03,136.77,157.9,0,1,15.67,0.91,167.53
2568,36.0,19.63,39.15,58.68,78.27,82.5,97.63,117.5,137.98,158.32,0,1,15.37,0.28,167.53
2457,34.0,19.98,39.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.23,0.71,167.63
869,34.0,19.63,39.18,58.9,78.68,82.97,98.43,118.32,138.62,159.18,0,1,15.35,0.2,167.8
2983,25.0,19.68,38.55,57.4,78.97,83.15,98.2,117.95,138.15,0.0,0,1,15.9,2.1,167.8
2837,35.0,19.43,38.73,58.6,77.88,82.07,97.3,117.43,137.95,158.93,0,1,15.54,0.34,168.0
3402,38.0,20.55,40.13,59.7,79.47,83.7,99.17,119.35,139.65,0.0,0,1,15.32,2.42,168.2
2615,33.0,20.45,40.62,60.63,80.63,84.98,100.72,120.92,140.77,159.92,0,1,14.87,0.69,168.43
984,24.0,18.17,36.58,54.75,73.12,77.18,91.88,111.67,133.32,0.0,0,1,16.3,-0.66,168.52
3511,39.0,20.25,39.63,59.22,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.48,2.2,168.62
4119,35.0,20.78,41.17,61.45,81.8,86.18,101.87,122.22,142.3,160.88,0,1,14.71,0.95,168.77
