age,avg_pace
19,4.387186475490776
20,4.20049768929968
21,3.903701070426986
22,3.6780345222577715
23,3.7277086542639335
24,3.633195086305644
25,3.5237666390172615
26,3.4478808705612827
27,3.512691077141841
28,3.407196745269977
29,3.5163881976537503
30,3.469542204842596
31,3.476541454358731
32,3.5335466287474824
33,3.4030572342694634
34,3.6694553067109053
35,3.596271280167476
36,3.6253110558123
37,3.681004858395545
38,3.5527274163605487
39,3.702713591657779
40,3.7245487222024733
41,3.722178773156377
42,3.8059169727850852
43,3.865797685349764
44,3.741075166883912
45,3.8264249318639654
46,3.8666192676857443
47,3.885989651222499
48,4.073515819409883
49,4.0232570999723505
50,3.940466879962081
51,4.061065687087727
52,4.015815459967611
53,4.130789588023857
54,4.142291740727575
55,4.115590314808232
56,4.315977406485761
57,4.204700398941423
58,4.387944859185527
59,4.522178773156377
60,4.554346881542047
61,4.540285183868546
62,4.482458427143816
63,4.714318442153494
64,4.871414464589011
65,4.879598688628194
66,4.803460125607299
67,5.152616818738396
68,5.326081289252281
69,5.555207963028796
70,5.446127108267172
71,5.7179602638543265
72,5.711198009242802
73,6.566433621677133
74,6.105067741043567
