"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 7"
"4431","Sánchez Sánchez, Alejandro","57","M","Morelia","MEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:55","0:41:42","1:02:21","1:23:02","1:27:26","1:43:29","2:04:52","2:26:03","2:47:08","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:45","2:56:49","2486","2334","17",""
"3934","Strange, Casey","58","M","Abington","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:30","0:40:58","1:01:15","1:21:46","1:26:07","1:42:10","2:03:34","2:26:06","2:48:14","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:48","2:58:12","2814","2633","23",""
"9224","Sullivan, Paul","55","M","Boston","MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:08","0:44:07","1:06:21","1:28:07","1:32:49","1:49:47","2:12:24","2:35:01","2:57:20","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:08","3:06:55","4575","4155","64",""
"13404","Smith, Eric","57","M","St. John’s","NL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CAN"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:50","0:42:15","1:04:14","1:26:19","1:31:04","1:48:21","2:11:10","2:34:14","2:56:54","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:09","3:07:06","4617","4192","68",""
"10533","Schütte, Clemens","55","M","Willich","GER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:48","0:43:15","1:04:46","1:26:35","1:31:17","1:48:09","2:10:39","2:33:55","2:57:09","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:10","3:07:35","4703","4265","72",""
"8444","Scobie, Stephen","58","M","New York","NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:46","0:43:31","1:05:26","1:27:32","1:32:21","1:49:25","2:12:15","2:35:07","2:57:39","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:11","3:08:03","4819","4352","74",""
"7526","Sandison, James","57","M","Norwalk","CT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:38","0:43:09","1:04:50","1:26:32","1:31:19","1:48:17","2:11:00","2:34:40","2:58:00","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:11","3:08:09","4836","4367","76",""
"10066","Shale, Joanne","58","F","Northwood","GBR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:05","0:43:02","1:04:10","1:25:52","1:30:31","1:47:26","2:10:08","2:33:30","2:57:20","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:12","3:08:28","4892","481","3",""
"9815","Sun, Dechang","56","M","Eden Prairie","MN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:31","0:44:50","1:07:02","1:29:34","1:34:30","1:52:03","2:14:33","2:37:18","2:59:56","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:15","3:09:53","5228","4691","84",""
"10625","Shields, Nigel","56","M","Bergen Op Zoom","NED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IRL"
"","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:39","0:44:59","1:07:22","1:30:11","1:35:02","1:52:43","2:16:08","2:39:48","3:02:48","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:21","3:12:42","5838","5138","120",""
"13174","Shea, John","56","M","Tampa","FL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
