age,avg_pace,gender,smoothed_avg_pace,fem_corr,next_avg_pace,rel_diff,rel_diff_sum,rel_diff_speed
21,4.896488525496702,Female,4.896488525496702,4.298417212601358,4.474953588497847,-0.08608923206985236,-0.08608923206985236,25.951409435250522
22,4.474953588497847,Female,4.474953588497847,3.876882275602503,4.2515621914128845,-0.04992038300892203,-0.1360096150787744,15.108349318854247
23,4.2515621914128845,Female,4.5410014351358114,3.9429301222404676,4.150934154915669,-0.023668485127763022,-0.15967810020653742,9.362096433332253
24,4.150934154915669,Female,4.292483311608801,3.694411998713457,4.231717818066912,0.019461562177654886,-0.14021653802888254,6.773661280358945
25,4.231717818066912,Female,4.211404721465155,3.6133334085698112,4.011407354741873,-0.05206170940426227,-0.1922782474331448,8.851643528302512
26,4.011407354741873,Female,4.131353109241485,3.533281796346141,4.125828494687364,0.028523939312778582,-0.1637543081203662,3.184640894755681
27,4.125828494687364,Female,4.1229845558320495,3.5249132429367056,3.8876012165738434,-0.05774047040982797,-0.22149477853019417,6.127873329648543
28,3.8876012165738434,Female,4.008279022001028,3.4102077091056837,4.152608918908244,0.06816740904509552,-0.15332736948509867,0.0
29,4.152608918908244,Female,4.055346210056483,3.4572748971611396,3.9742465536990954,-0.04295188126120029,-0.19627925074629896,6.816740904509552
30,3.9742465536990954,Female,4.0048188963937275,3.4067475834983836,4.186799383813248,0.0534825475073546,-0.14279670323894433,2.2287609324706628
31,4.186799383813248,Female,4.1045516188068625,3.5064803059115186,4.164237468894419,-0.005388821591513515,-0.14818552483045785,7.696215495659521
32,4.164237468894419,Female,4.108427802135588,3.510356489240244,4.031994312122289,-0.03175687211883237,-0.17994239694929023,7.115859804272217
33,4.031994312122289,Female,4.127677054943319,3.5296057420479747,4.0079788284551885,-0.005956229549951833,-0.18589862649924208,3.714195142569168
34,4.0079788284551885,Female,4.068070203157299,3.4699988902619547,4.149622783110163,0.03534049472750564,-0.15055813177173644,3.0964495887115273
35,4.149622783110163,Female,4.063198641229214,3.4651273283338697,4.180716514594936,0.007493146512336155,-0.14306498525940028,6.739929121825938
36,4.180716514594936,Female,4.112772708720096,3.5147013958247517,4.344653789943516,0.03921272221550373,-0.10385226304389654,7.5397470494521555
37,4.344653789943516,Female,4.224997695882871,3.6269263829875276,4.167429000276495,-0.04079146423064597,-0.1446437272745425,11.756673277627861
38,4.167429000276495,Female,4.2309331016049825,3.6328617887096386,4.331824465773986,0.03944769436661884,-0.10519603290792368,7.197954937087515
39,4.331824465773986,Female,4.281302418664666,3.683231105769322,4.309910336927755,-0.005058868155756365,-0.11025490106368004,11.426667100172324
40,4.309910336927755,Female,4.2697212676594125,3.6716499547640686,4.380661215783861,0.016415858643254067,-0.09383904242042597,10.862974282277197
41,4.380661215783861,Female,4.340798672828534,3.74272735993319,4.289133783623652,-0.020893519871025102,-0.11473256229145107,12.68288519686577
42,4.289133783623652,Female,4.32656844544509,3.728497132549746,4.347181735592685,0.013533723800051781,-0.10119883849139928,10.328543095880613
43,4.347181735592685,Female,4.338992245000066,3.740920932104722,4.398751826835723,0.011862879074230136,-0.08933595941716915,11.821699125402372
44,4.398751826835723,Female,4.34502244868402,3.746951135788676,4.439072559939961,0.009166403264273981,-0.08016955615289517,13.148226420001965
45,4.439072559939961,Female,4.395002040789457,3.796930727894113,4.4468143934905395,0.0017440205011388286,-0.07842553565175635,14.185388692005082
46,4.4468143934905395,Female,4.428212926755408,3.830141613860064,4.526713275664574,0.01796766743648984,-0.0604578682152665,14.384530350814446
47,4.526713275664574,Female,4.470866743031691,3.8727954301363474,4.58098510882016,0.011989235865092101,-0.0484686323501744,16.439753552036958
48,4.58098510882016,Female,4.5181709259917575,3.9200996130964136,4.548627404510803,-0.007063481661849493,-0.05553211401202389,17.835777221445525
49,4.548627404510803,Female,4.552108596331846,3.954037283436502,4.694505668128135,0.03207083162552882,-0.023461282386495072,17.003446369932064
50,4.694505668128135,Female,4.608039393819699,4.009968080924356,4.8390409606193465,0.03078818148468493,0.007326899098189857,20.755844198068747
51,4.8390409606193465,Female,4.694058011086095,4.095986698190751,4.833495279851483,-0.0011460288956002792,0.006180870202589578,24.473697044575225
52,4.833495279851483,Female,4.789013969532988,4.1909426566376435,4.826322234071967,-0.001484028713013754,0.004696841489575824,24.331046591019945
53,4.826322234071967,Female,4.8329528248476,4.234881511952256,5.0430935734881706,0.04491439421219773,0.04961123570177355,24.14653574795982
54,5.0430935734881706,Female,4.900970362470541,4.302899049575197,5.023738989611723,-0.003837839531313806,0.045773396170459744,29.722502194622386
55,5.023738989611723,Female,4.96438493239062,4.366313619495276,4.84300667535648,-0.035975657698174235,0.00979773847228551,29.224648047598922
56,4.84300667535648,Female,4.969946412818792,4.371875099923448,5.035541335861279,0.03975519205548621,0.04955293052777172,24.575706343271463
57,5.035541335861279,Female,4.967429000276494,4.36935768738115,5.004179010151281,-0.006228193478751991,0.04332473704901973,29.528237474396075
58,5.004179010151281,Female,4.960909007123013,4.36283769422767,5.163897776197812,0.031917076851673706,0.07524181390069343,28.721510550443803
59,5.163897776197812,Female,5.067872707403457,4.469801394508114,5.0801437769087965,-0.01621914354599869,0.059022670354694745,32.82992489514584
60,5.0801437769087965,Female,5.08274018775263,4.484668874857286,5.259975510526524,0.035398945682429656,0.0944216160371244,30.675537276067246
61,5.259975510526524,Female,5.168005687877711,4.569934374982367,5.2674645495121855,0.001423778299095501,0.0958453943362199,35.301313522125064
62,5.2674645495121855,Female,5.202527945649169,4.604456632753825,5.4725599399612905,0.03893626402632339,0.1347816583625433,35.49395259615698
