age,avg_pace
21,4.896488525496702
22,4.474953588497847
23,4.2515621914128845
24,4.150934154915669
25,4.231717818066912
26,4.011407354741873
27,4.125828494687364
28,3.8876012165738434
29,4.152608918908244
30,3.9742465536990954
31,4.186799383813248
32,4.164237468894419
33,4.031994312122289
34,4.0079788284551885
35,4.149622783110163
36,4.180716514594936
37,4.344653789943516
38,4.167429000276495
39,4.331824465773986
40,4.309910336927755
41,4.380661215783861
42,4.289133783623652
43,4.347181735592685
44,4.398751826835723
45,4.439072559939961
46,4.4468143934905395
47,4.526713275664574
48,4.58098510882016
49,4.548627404510803
50,4.694505668128135
51,4.8390409606193465
52,4.833495279851483
53,4.826322234071967
54,5.0430935734881706
55,5.023738989611723
56,4.84300667535648
57,5.035541335861279
58,5.004179010151281
59,5.163897776197812
60,5.0801437769087965
61,5.259975510526524
62,5.2674645495121855
63,5.4725599399612905
64,5.579586838882964
65,5.706394912509381
66,5.716680491369436
67,6.073452620768654
68,6.285815854959119
