age,avg_pace,gender,smoothed_avg_pace,fem_corr,next_avg_pace,rel_diff,rel_diff_sum,rel_diff_speed
19.0,5.600568787771063,Female,5.600568787771063,5.004993821204273,5.661034087767113,0.01079627842944756,0.01079627842944756,44.06232727509185
20.0,5.661034087767113,Female,5.661034087767113,5.065459121200323,4.896488525496702,-0.1350540467372404,-0.12425776830779284,45.617664271547945
21.0,4.896488525496702,Female,5.386030467011626,4.790455500444836,4.474953588497847,-0.08608923206985236,-0.2103470003776452,25.951409435250522
22.0,4.474953588497847,Female,5.01082540058722,4.415250434020431,4.2515621914128845,-0.04992038300892203,-0.26026738338656724,15.108349318854247
23.0,4.2515621914128845,Female,4.5410014351358114,3.9454264685690217,4.150934154915669,-0.023668485127763022,-0.2839358685143302,9.362096433332253
24.0,4.150934154915669,Female,4.292483311608801,3.696908345042011,4.231717818066912,0.019461562177654886,-0.26447430633667535,6.773661280358945
25.0,4.231717818066912,Female,4.211404721465155,3.615829754898365,4.011407354741873,-0.05206170940426227,-0.31653601574093765,8.851643528302512
26.0,4.011407354741873,Female,4.131353109241485,3.5357781426746957,4.125828494687364,0.028523939312778582,-0.28801207642815907,3.184640894755681
27.0,4.125828494687364,Female,4.1229845558320495,3.52740958926526,3.8876012165738434,-0.05774047040982797,-0.345752546837987,6.127873329648543
28.0,3.8876012165738434,Female,4.008279022001028,3.412704055434238,4.135134494608366,0.06367249731768379,-0.28208004952030324,0.0
29.0,4.135134494608366,Female,4.049521401956524,3.4539464353897347,3.974246553699096,-0.03890754729236621,-0.3209875968126694,6.367249731768379
30.0,3.974246553699096,Female,3.998994088293768,3.4034191217269782,4.186799383813248,0.05348254750735448,-0.26750504930531493,2.228760932470674
31.0,4.186799383813248,Female,4.098726810706903,3.503151844140113,4.164237468894419,-0.005388821591513515,-0.2728938708968285,7.696215495659521
32.0,4.164237468894419,Female,4.108427802135587,3.5128528355687973,4.031994312122289,-0.03175687211883237,-0.30465074301566086,7.115859804272217
33.0,4.031994312122289,Female,4.127677054943319,3.532102088376529,4.0079788284551885,-0.005956229549951833,-0.31060697256561265,3.714195142569168
34.0,4.0079788284551885,Female,4.068070203157299,3.472495236590509,4.149622783110163,0.03534049472750564,-0.27526647783810704,3.0964495887115273
35.0,4.149622783110163,Female,4.063198641229214,3.467623674662424,4.180716514594936,0.007493146512336155,-0.26777333132577086,6.739929121825938
36.0,4.180716514594936,Female,4.1127727087200965,3.5171977421533067,4.344653789943516,0.03921272221550373,-0.22856060911026715,7.5397470494521555
37.0,4.344653789943516,Female,4.224997695882872,3.6294227293160826,4.167429000276495,-0.04079146423064597,-0.2693520733409131,11.756673277627861
38.0,4.167429000276495,Female,4.230933101604982,3.635358135038192,4.331824465773986,0.03944769436661884,-0.22990437897429428,7.197954937087515
39.0,4.331824465773986,Female,4.281302418664665,3.685727452097875,4.309910336927755,-0.005058868155756365,-0.23496324713005065,11.426667100172324
40.0,4.309910336927755,Female,4.269721267659412,3.674146301092622,4.380661215783861,0.016415858643254067,-0.21854738848679658,10.862974282277197
41.0,4.380661215783861,Female,4.340798672828534,3.745223706261744,4.289133783623652,-0.020893519871025102,-0.23944090835782167,12.68288519686577
42.0,4.289133783623652,Female,4.32656844544509,3.7309934788783,4.347181735592685,0.013533723800051781,-0.2259071845577699,10.328543095880613
43.0,4.347181735592685,Female,4.338992245000067,3.743417278433277,4.398751826835723,0.011862879074230136,-0.21404430548353975,11.821699125402372
44.0,4.398751826835723,Female,4.345022448684021,3.749447482117231,4.439072559939961,0.009166403264273981,-0.20487790221926577,13.148226420001965
45.0,4.439072559939961,Female,4.395002040789457,3.7994270742226672,4.44681439349054,0.0017440205011390287,-0.20313388171812677,14.185388692005082
46.0,4.44681439349054,Female,4.428212926755408,3.832637960188618,4.526713275664574,0.01796766743648964,-0.18516621428163713,14.38453035081447
47.0,4.526713275664574,Female,4.470866743031691,3.8752917764649015,4.58098510882016,0.011989235865092101,-0.173176978416545,16.439753552036958
48.0,4.58098510882016,Female,4.518170925991758,3.9225959594249686,4.548627404510803,-0.007063481661849493,-0.1802404600783945,17.835777221445525
49.0,4.548627404510803,Female,4.552108596331846,3.956533629765056,4.694505668128135,0.03207083162552882,-0.1481696284528657,17.003446369932064
50.0,4.694505668128135,Female,4.608039393819699,4.01246442725291,4.8390409606193465,0.03078818148468493,-0.11738144696818076,20.755844198068747
51.0,4.8390409606193465,Female,4.694058011086095,4.0984830445193055,4.833495279851483,-0.0011460288956002792,-0.11852747586378104,24.473697044575225
52.0,4.833495279851483,Female,4.789013969532989,4.193439002966199,4.826322234071967,-0.001484028713013754,-0.1200115045767948,24.331046591019945
53.0,4.826322234071967,Female,4.832952824847599,4.237377858280809,5.0430935734881706,0.04491439421219773,-0.07509711036459707,24.14653574795982
54.0,5.0430935734881706,Female,4.900970362470541,4.305395395903751,5.023738989611723,-0.003837839531313806,-0.07893494989591086,29.722502194622386
55.0,5.023738989611723,Female,4.96438493239062,4.36880996582383,4.84300667535648,-0.035975657698174235,-0.11491060759408511,29.224648047598922
56.0,4.84300667535648,Female,4.969946412818792,4.3743714462520025,5.031591420784453,0.038939600555907145,-0.07597100703817797,24.575706343271463
57.0,5.031591420784453,Female,4.966112361917552,4.3705373953507625,5.004179010151281,-0.005448059737111595,-0.08141906677528955,29.42663458724844
58.0,5.004179010151281,Female,4.959592368764072,4.364017402197282,5.163897776197812,0.031917076851673706,-0.04950198992361585,28.721510550443803
